,date,day,hour,days_of_week,text
82,2019-05-30 07:47:34,30,7,Thursday,Accident on CTE (towards SLE) after AMK Ave 1 Exit with congestion till Braddell Rd Exit
83,2019-05-30 07:43:17,30,7,Thursday,Accident on CTE (towards SLE) after AMK Ave 1 Exit
84,2019-05-30 07:13:25,30,7,Thursday,Accident on ECP (towards Changi Airport) before Tg Katong Rd Exit
85,2019-05-30 06:49:31,30,6,Thursday,Accident on MCE (towards ECP) at ECP (Changi) Exit
86,2019-05-30 06:42:06,30,6,Thursday,Obstacle on CTE (towards SLE) after AMK Ave 3 Exit. Avoid lane 3
87,2019-05-30 04:01:14,30,4,Thursday,Accident on PIE (towards Tuas) after CTE(SLE) Exit
88,2019-05-30 03:43:16,30,3,Thursday,Accident on PIE (towards Tuas) after CTE(SLE) Exit. Avoid lane 1
89,2019-05-30 02:53:19,30,2,Thursday,Heavy Traffic on CTE (towards AYE) before PIE(Changi) Exit
90,2019-05-30 02:19:37,30,2,Thursday,Temporary Closure of Slip Roads at CTE Tunnel starting 4 Jun from midnight to 5.00 a.m daily. More details: http://bit.ly/2I8O76X #sgtraffic
91,2019-05-30 02:18:54,30,2,Thursday,Temporary Closure of Slip Roads at KPE Tunnel starting on 1 Jun (Sat) from midnight to 5.00 a.m. More details: http://bit.ly/2Mrpwj0 #sgtraffic
92,2019-05-30 02:17:17,30,2,Thursday,"Temporary Road Closure along Serangoon Road on Thursday, 6 June 2019 and Friday, 7 June 2019 from 1.30 a.m to 5.00 a.m daily. #sgtraffic http://bit.ly/2Wv42G4"
93,2019-05-30 02:16:53,30,2,Thursday,"Temporary Closure of Slip Roads at MCE Tunnel on 1 Jun (Sat), 13 Jun (Thu) and 19 Jun (Wed) from midnight to 5.00 a.m. #sgtraffic http://bit.ly/2QubxHC"
94,2019-05-30 02:15:45,30,2,Thursday,"Commissioning of New Signalised Pedestrian Crossings at Yishun Avenue 1 on Monday, 3 June 2019 at 9.30 a.m. #sgtraffic http://bit.ly/2VZOoxQ"
95,2019-05-30 02:07:48,30,2,Thursday,Accident on CTE (towards AYE) before PIE(Changi) Exit with congestion till AMK Ave 5 Exit. Avoid lanes 1 and 2
96,2019-05-30 02:07:17,30,2,Thursday,Accident on KPE (towards ECP) after Tampines Rd Exit. Avoid lane 2
97,2019-05-30 02:05:07,30,2,Thursday,Accident on CTE (towards AYE) before PIE(Changi) Exit. Avoid lanes 1 and 2
98,2019-05-30 01:15:07,30,1,Thursday,Accident on SLE (towards CTE) before Mandai Ave Exit
99,2019-05-30 01:13:01,30,1,Thursday,Accident in CTE Tunnel (towards SLE) after Outram Rd Exit
100,2019-05-30 01:04:36,30,1,Thursday,Accident on AYE (towards Tuas) before Jurong Town Hall Exit. Avoid lane 3
101,2019-05-30 00:56:45,30,0,Thursday,Heavy Traffic on BKE (towards PIE) after Dairy Farm Rd Entrance
102,2019-05-30 00:34:36,30,0,Thursday,Accident on BKE (towards PIE) after Dairy Farm Rd Entrance with congestion till KJE Exit. Avoid lane 1
103,2019-05-30 00:24:05,30,0,Thursday,Accident on BKE (towards PIE) after Dairy Farm Rd Entrance with congestion till Bukit Panjang Rd Exit. Avoid lane 1
104,2019-05-30 00:23:02,30,0,Thursday,Obstacle on PIE (towards Tuas) before Toh Guan Rd Exit. Avoid lane 3
105,2019-05-30 00:22:00,30,0,Thursday,Accident on BKE (towards PIE) after Dairy Farm Rd Entrance. Avoid lane 1
106,2019-05-30 00:03:03,30,0,Thursday,Accident on South Bridge Road (towards Upper Pickering Street) after North Canal Road. Avoid right lane
107,2019-05-29 23:57:46,29,23,Wednesday,Accident on PIE (towards Changi Airport) after Eng Neo Ave
108,2019-05-29 23:52:00,29,23,Wednesday,Accident on PIE (towards Changi Airport) after Eng Neo Ave. Avoid lane 5
109,2019-05-29 23:15:38,29,23,Wednesday,Accident on SLE (towards CTE) after TPE Exit with congestion till TPE Exit. Avoid lane 2
110,2019-05-29 23:08:42,29,23,Wednesday,Accident on BKE (towards PIE) before Dairy Farm Rd Exit. Avoid lane 4
111,2019-05-29 23:01:50,29,23,Wednesday,Accident on SLE (towards CTE) after TPE Exit. Avoid lane 2
112,2019-05-29 22:19:32,29,22,Wednesday,Accident on AYE (towards Tuas) before Normanton Exit. Avoid lanes 2 and 3
113,2019-05-29 22:04:59,29,22,Wednesday,Accident on AYE (towards Tuas) before Normanton Exit. Avoid lane 3
114,2019-05-29 22:01:52,29,22,Wednesday,Accident on AYE (towards Tuas) after Alexandra Rd Entrance. Avoid lane 3
115,2019-05-29 21:52:02,29,21,Wednesday,Accident on PIE (towards Tuas) at BKE(Woodlands) Exit
116,2019-05-29 20:16:39,29,20,Wednesday,Accident on CTE (towards SLE) after Moulmein Rd Exit. Avoid lanes 1 and 2
117,2019-05-29 20:16:39,29,20,Wednesday,"Accident on CTE (towards SLE) after Moulmein Rd Exit. Avoid lanes 1, 2 and 3"
118,2019-05-29 17:48:15,29,17,Wednesday,Accident in CTE Tunnel (towards AYE) after Bukit Timah Rd Exit. Avoid lane 4
119,2019-05-29 17:21:37,29,17,Wednesday,Accident on Lornie Highway (towards Queensway) after MacRitchie viaduct. Avoid left lane
120,2019-05-29 14:46:21,29,14,Wednesday,Accident on SLE (towards BKE) at BKE(PIE) Exit
121,2019-05-29 13:40:28,29,13,Wednesday,Accident on BKE (towards PIE) at Bukit Panjang Rd Entrance
122,2019-05-29 11:30:58,29,11,Wednesday,Accident on BKE (towards Woodlands) after Mandai Rd Exit
123,2019-05-29 11:25:30,29,11,Wednesday,Accident on BKE (towards Woodlands) after Mandai Rd Exit. Avoid lane 2
124,2019-05-29 08:18:07,29,8,Wednesday,Accident on CTE (towards SLE) at Ang Mo Kio Ave 1 Entrance
125,2019-05-29 08:09:00,29,8,Wednesday,Accident on Thomson Road (towards Newton) after Balestier Road
126,2019-05-29 08:05:56,29,8,Wednesday,Heavy Traffic on PIE (towards Changi Airport) before Kallang Way
127,2019-05-29 08:01:11,29,8,Wednesday,Accident on PIE (towards Changi Airport) before Kallang Way with congestion till Kim Keat Link. Avoid lane 4
128,2019-05-29 07:53:21,29,7,Wednesday,Accident on PIE (towards Changi Airport) before Kallang Way. Avoid lane 4
129,2019-05-29 06:44:06,29,6,Wednesday,Accident on Clementi Avenue 6 (towards Clementi Loop) after Clementi Loop
130,2019-05-29 06:00:00,29,6,Wednesday,Accident on Outram Road (towards Second Hospital Avenue) after Eu Tong Sen Street. Avoid right lane
131,2019-05-29 05:48:29,29,5,Wednesday,Accident on Clementi Avenue 6 (towards Clementi Loop) after Clementi Loop. Avoid left lane
132,2019-05-29 04:36:05,29,4,Wednesday,Accident on AYE (towards Tuas) before Buona Vista exit. Avoid lane 1
133,2019-05-29 03:55:09,29,3,Wednesday,Accident on CTE (towards SLE) at PIE Exit
134,2019-05-29 03:12:13,29,3,Wednesday,Heavy Traffic on PIE (towards Tuas) after Paya Lebar Rd
135,2019-05-29 03:07:07,29,3,Wednesday,Accident on TPE (towards SLE) after Punggol Rd Exit. Avoid lane 2
136,2019-05-29 03:00:14,29,3,Wednesday,Accident on PIE (towards Tuas) after Paya Lebar Rd with congestion till Jalan Eunos. Avoid lane 1
137,2019-05-29 02:08:15,29,2,Wednesday,Accident on PIE (towards Tuas) after Paya Lebar Rd with congestion till Bedok North Rd. Avoid lane 1
138,2019-05-29 02:00:34,29,2,Wednesday,Accident on PIE (towards Tuas) after Paya Lebar Rd. Avoid lane 1
139,2019-05-29 01:30:59,29,1,Wednesday,Accident in CTE Tunnel (towards SLE) at Chin Swee Rd Entrance
140,2019-05-29 01:17:16,29,1,Wednesday,Accident in CTE Tunnel (towards SLE) before Merchant Rd Exit. Avoid lane 3
141,2019-05-29 00:56:05,29,0,Wednesday,Accident on MCE (towards AYE) at MCE(AYE) Entrance
142,2019-05-29 00:47:35,29,0,Wednesday,Heavy Traffic on Upper Bukit Timah Road (towards City) after Old Jurong Road
143,2019-05-29 00:35:32,29,0,Wednesday,Accident on Upper Bukit Timah Road (towards City) after Old Jurong Road with congestion till Bukit Panjang Road
144,2019-05-29 00:21:58,29,0,Wednesday,Accident on Upper Bukit Timah Road (towards City) after Old Jurong Road with congestion till Gombak Drive
145,2019-05-29 00:15:02,29,0,Wednesday,Accident on AYE (towards Tuas) at Clementi Rd Entrance
146,2019-05-29 00:04:33,29,0,Wednesday,Accident on PIE (towards Tuas) at KPE(ECP) Exit
147,2019-05-29 00:01:34,29,0,Wednesday,Accident on KPE (towards ECP) after Airport Rd Entrance. Avoid lane 3
148,2019-05-28 23:58:29,28,23,Tuesday,Accident on PIE (towards Changi Airport) after Jalan Eunos. Avoid lane 2
149,2019-05-28 23:53:53,28,23,Tuesday,Accident on TPE (towards PIE) after Punggol Rd Exit with congestion till Seletar Link Exit
150,2019-05-28 23:51:39,28,23,Tuesday,Accident on Upper Bukit Timah Road (towards City) after Old Jurong Road with congestion till Cashew Road
151,2019-05-28 23:41:44,28,23,Tuesday,Accident on Upper Bukit Timah Road (towards City) after Old Jurong Road
152,2019-05-28 23:36:40,28,23,Tuesday,Accident on TPE (towards PIE) after Punggol Rd Exit with congestion till Seletar Link Exit. Avoid lane 2
153,2019-05-28 23:27:35,28,23,Tuesday,Accident on BKE (towards PIE) before Mandai Rd Exit
154,2019-05-28 23:24:32,28,23,Tuesday,Accident on BKE (towards PIE) before Mandai Rd Exit. Avoid lane 3
155,2019-05-28 23:07:22,28,23,Tuesday,Accident on TPE (towards PIE) after Punggol Rd Exit with congestion till Punggol Rd Exit. Avoid lane 2
156,2019-05-28 23:05:52,28,23,Tuesday,Accident on TPE (towards PIE) after Punggol Rd Exit. Avoid lane 2
157,2019-05-28 12:39:56,28,12,Tuesday,Accident on CTE (towards SLE) after Braddell Rd Exit. Avoid lane 5
158,2019-05-28 11:37:56,28,11,Tuesday,Accident on CTE (towards SLE) after PIE(Changi) Exit. Avoid lane 1
159,2019-05-28 11:33:22,28,11,Tuesday,Accident on SLE (towards BKE) after Mandai Rd Exit
160,2019-05-28 11:05:29,28,11,Tuesday,Accident on PIE (towards Changi Airport) before Kallang Way
161,2019-05-28 10:40:11,28,10,Tuesday,Accident on SLE (towards BKE) after Mandai Rd Exit with congestion till Upper Thomson Rd Exit
162,2019-05-28 10:36:00,28,10,Tuesday,Accident on AYE (towards MCE) after Yuan Ching Exit
163,2019-05-28 10:32:12,28,10,Tuesday,Accident on PIE (towards Changi Airport) before Kallang Way with congestion till Toa Payoh Lor 1
164,2019-05-28 10:23:01,28,10,Tuesday,Accident on PIE (towards Changi Airport) before Kallang Way with congestion till Toa Payoh Lor 1. Avoid lane 5
165,2019-05-28 10:20:41,28,10,Tuesday,Accident on PIE (towards Changi Airport) before Kallang Way. Avoid lane 5
166,2019-05-28 10:16:58,28,10,Tuesday,Accident on AYE (towards MCE) after Yuan Ching Exit with congestion till Yuan Ching Exit
167,2019-05-28 10:13:09,28,10,Tuesday,Accident on CTE (towards AYE) before Braddell Rd/Lor Chuan Exit
168,2019-05-28 09:58:59,28,9,Tuesday,Accident on SLE (towards BKE) after Mandai Rd Exit with congestion till Upper Thomson Rd Exit. Avoid lane 3
169,2019-05-28 09:55:56,28,9,Tuesday,Accident on SLE (towards BKE) after Mandai Rd Exit. Avoid lane 3
170,2019-05-28 09:52:08,28,9,Tuesday,Accident on PIE (towards Tuas) at Whitley Rd Entrance
171,2019-05-28 09:46:49,28,9,Tuesday,Heavy Traffic on ECP (towards Changi Airport) after Tg Katong Rd Exit
172,2019-05-28 09:46:05,28,9,Tuesday,Heavy Traffic on PIE (towards Changi Airport) before Toa Payoh Lor 1
173,2019-05-28 09:43:46,28,9,Tuesday,Accident on AYE (towards MCE) after Yuan Ching Exit with congestion till Yuan Ching Exit. Avoid lane 1
174,2019-05-28 09:42:17,28,9,Tuesday,Accident on AYE (towards MCE) after Yuan Ching Exit. Avoid lane 1
175,2019-05-28 09:38:40,28,9,Tuesday,Accident on PIE (towards Changi Airport) before Toa Payoh Lor 1 with congestion till Stevens Rd Exit
176,2019-05-28 09:28:03,28,9,Tuesday,Accident on PIE (towards Changi Airport) before Toa Payoh Lor 1 with congestion till Stevens Rd Exit. Avoid lane 1
177,2019-05-28 09:21:55,28,9,Tuesday,Accident on PIE (towards Changi Airport) before Toa Payoh Lor 1. Avoid lane 1
178,2019-05-28 09:08:51,28,9,Tuesday,Accident on PIE (towards Tuas) after Stevens Rd Exit. Avoid lane 1
179,2019-05-28 08:45:13,28,8,Tuesday,Accident on ECP (towards Changi Airport) after Tg Katong Rd Exit with congestion till Fort Rd Exit. Avoid lanes 3 and 4
180,2019-05-28 08:34:00,28,8,Tuesday,Accident on ECP (towards Changi Airport) after Tg Katong Rd Exit with congestion till Tg Katong Rd Exit. Avoid lanes 3 and 4
181,2019-05-28 08:24:48,28,8,Tuesday,Accident on ECP (towards Changi Airport) after Tg Katong Rd Exit. Avoid lane 3
182,2019-05-28 08:24:03,28,8,Tuesday,Accident on PIE (towards Tuas) after Toa Payoh Exit
183,2019-05-28 07:56:05,28,7,Tuesday,Accident on Upper Serangoon Road (towards Sengkang) after Serangoon Central. Avoid left lane
184,2019-05-28 07:43:02,28,7,Tuesday,Heavy Traffic on PIE (towards Changi Airport) after Thomson Rd
185,2019-05-28 06:54:28,28,6,Tuesday,Accident on PIE (towards Changi Airport) after Thomson Rd with congestion till Lornie Rd. Avoid lane 1
186,2019-05-28 06:31:50,28,6,Tuesday,Accident on PIE (towards Changi Airport) after Thomson Rd with congestion till Stevens Rd Exit. Avoid lane 1
187,2019-05-28 06:11:06,28,6,Tuesday,Accident on PIE (towards Changi Airport) after Thomson Rd. Avoid lane 1
188,2019-05-28 06:08:14,28,6,Tuesday,Accident on PIE (towards Changi Airport) after Thomson Rd. Avoid lane 2
189,2019-05-28 03:36:21,28,3,Tuesday,Accident on ECP (towards City) at Tanah Merah Coast Rd Entrance
190,2019-05-28 03:28:37,28,3,Tuesday,Obstacle on ECP (towards City) at PIE Exit
191,2019-05-28 03:25:30,28,3,Tuesday,Obstacle on PIE (towards Tuas) after Toh Guan Rd Exit. Avoid lane 1
192,2019-05-28 03:03:40,28,3,Tuesday,Accident on TPE (towards PIE) at Loyang Ave Entrance
193,2019-05-28 02:26:31,28,2,Tuesday,Accident on PIE (towards Tuas) before KPE Exit. Avoid lane 1
194,2019-05-28 02:07:44,28,2,Tuesday,Accident on PIE (towards Changi Airport) after Onraet Rd
195,2019-05-28 01:57:51,28,1,Tuesday,Accident on PIE (towards Changi Airport) after Onraet Rd. Avoid lane 1
196,2019-05-28 01:36:48,28,1,Tuesday,Accident on BKE (towards Woodlands) after SLE Exit
197,2019-05-28 01:29:44,28,1,Tuesday,Accident on BKE (towards PIE) after Mandai Rd Exit
198,2019-05-28 01:19:04,28,1,Tuesday,Accident on BKE (towards PIE) after Mandai Rd Exit. Avoid lane 2
199,2019-05-28 01:16:50,28,1,Tuesday,Accident on BKE (towards PIE) after Mandai Rd Exit. Avoid lanes 1 and 2
200,2019-05-28 01:01:52,28,1,Tuesday,Accident on AYE (towards MCE) after Portsdown Ave Exit with congestion till Clementi Rd Exit
201,2019-05-28 00:51:13,28,0,Tuesday,Accident on AYE (towards Tuas ) at West Coast Way Entrance
202,2019-05-28 00:37:37,28,0,Tuesday,Accident on ECP (towards Changi Airport) at Tanjong Katong Exit
203,2019-05-28 00:30:37,28,0,Tuesday,Accident on PIE (towards Changi Airport) before Simei Ave. Avoid lane 3
204,2019-05-28 00:26:53,28,0,Tuesday,Accident on AYE (towards MCE) after Portsdown Ave Exit with congestion till Clementi Rd Exit. Avoid lane 4
205,2019-05-28 00:21:32,28,0,Tuesday,Accident on AYE (towards MCE) after Portsdown Ave Exit. Avoid lane 4
206,2019-05-28 00:20:40,28,0,Tuesday,Accident on PIE (towards Changi Airport) after Jalan Anak Bukit. Avoid lane 1
207,2019-05-28 00:13:06,28,0,Tuesday,Accident on TPE (towards PIE) before KPE Exit. Avoid lane 4
208,2019-05-27 23:53:29,27,23,Monday,Accident on PIE (towards Tuas) after Stevens Rd Exit
209,2019-05-27 23:02:56,27,23,Monday,Accident on Braddell Road (towards Lornie) after Bishan Flyover. Avoid left lane
210,2019-05-27 15:44:44,27,15,Monday,Obstacle on SLE (towards CTE) before TPE Exit. Avoid lanes 1 and 2
211,2019-05-27 15:44:00,27,15,Monday,Obstacle on SLE (towards CTE) before TPE Exit. Avoid lane 2
212,2019-05-27 14:36:57,27,14,Monday,Accident on Choa Chu Kang Avenue 4 towards Choa Chu Kang Way. Avoid left lane
213,2019-05-27 14:36:21,27,14,Monday,Accident on Choa Chu Kang Avenue 4 near Choa Chu Kang Avenue 4/Choa Chu Kang Way Junction
214,2019-05-27 14:31:41,27,14,Monday,Accident on Choa Chu Kang Avenue 4 towards Choa Chu Kang Way. Choa Chu Kang Avenue 4 closed after Choa Chu Kang Way
215,2019-05-27 14:27:52,27,14,Monday,Accident on Choa Chu Kang Avenue 4 towards Choa Chu Kang Way
216,2019-05-27 14:25:30,27,14,Monday,Accident on Choa Chu Kang Avenue 4 (towards Choa Chu Kang Way) after Choa Chu Kang Walk
217,2019-05-27 12:09:50,27,12,Monday,Accident on AYE (towards Tuas) after Keppel Rd exit. Avoid lanes 1 and 2
218,2019-05-27 08:57:04,27,8,Monday,Accident on AYE (towards Tuas) before Jurong Town Hall Exit
219,2019-05-27 08:09:55,27,8,Monday,Accident on CTE (towards SLE) at PIE Exit
220,2019-05-27 07:36:22,27,7,Monday,Accident on KJE (towards BKE) after PIE Entrance. Avoid lane 1
221,2019-05-27 07:27:51,27,7,Monday,Obstacle on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 1
